Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Sompal Kami,6,45,46,4,11.2,97.8,0,0,16,0.244565217,33.9673913,33.9673913,37.52939658,0.187646983
LM Jongwe,4,45,55,4,11.2,81.8,0,0,35,0.204545455,28.40909091,28.40909091,31.97109619,0.159855481
DM de Silva,2,45,47,2,22.5,95.7,0,0,31,0.478723404,66.4893617,66.4893617,70.05136698,0.350256835
SP Patil,3,45,55,3,15,81.8,0,0,34,0.272727273,37.87878788,37.87878788,41.44079316,0.207203966
L Ronchi,4,45,40,4,11.2,112.5,0,0,29,0.28125,39.0625,39.0625,42.62450528,0.213122526
GJ Maxwell,1,44,32,1,44,137.5,0,0,44,1.375,190.9722222,0,3.482849604,0.017414248
CS MacLeod,4,44,47,3,14.7,93.6,0,0,19,0.312056738,43.34121355,43.34121355,46.82406316,0.234120316
V Kohli,2,44,28,2,22,157.1,0,0,43,0.785714286,109.1269841,0,3.482849604,0.017414248
Soumya Sarkar,2,44,28,3,14.7,157.1,0,0,37,0.523809524,72.75132275,72.75132275,76.23417236,0.381170862
D Ramdin,3,43,31,1,43,138.7,0,0,34,1.387096774,192.6523297,0,3.403693931,0.01701847
AD Poynter,2,43,36,2,21.5,119.4,0,0,36,0.597222222,82.94753086,82.94753086,86.3512248,0.431756124
CJA Amini,2,43,49,1,43,87.8,0,0,37,0.87755102,121.8820862,0,3.403693931,0.01701847
TP Ura,3,43,38,3,14.3,113.2,0,0,32,0.377192982,52.38791423,52.38791423,55.79160816,0.278958041
DJG Sammy,4,43,28,2,21.5,153.6,0,0,20,0.767857143,106.6468254,0,3.403693931,0.01701847
SR Thompson,5,42,35,4,10.5,120,0,0,26,0.3,41.66666667,41.66666667,44.99120493,0.224956025
DR Smith,3,42,39,3,14,107.7,0,0,20,0.358974359,49.85754986,49.85754986,53.18208812,0.265910441
C Munro,4,42,21,3,14,200,0,0,23,0.666666667,92.59259259,92.59259259,95.91713085,0.479585654
K Pala,2,41,30,1,41,136.7,0,0,22,1.366666667,189.8148148,0,3.245382586,0.016226913
LD Chandimal,2,41,21,1,41,195.2,0,0,40,1.952380952,271.1640212,0,3.245382586,0.016226913
Rohan Mustafa,1,41,31,1,41,132.3,0,0,41,1.322580645,183.6917563,0,3.245382586,0.016226913
Rafatullah Mohmand,3,39,44,3,13,88.6,0,0,23,0.295454545,41.03535354,41.03535354,44.12242478,0.220612124
Sagar Pun,5,39,40,5,7.8,97.5,0,0,15,0.195,27.08333333,27.08333333,30.17040457,0.150852023
RI Ahmed,2,38,50,2,19,76,0,0,25,0.38,52.77777778,52.77777778,55.78569335,0.278928467
Mohammad Naveed,3,38,32,2,19,118.8,0,0,19,0.59375,82.46527778,82.46527778,85.47319335,0.427365967
AM Rahane,2,37,35,2,18.5,105.7,0,0,33,0.528571429,73.41269841,73.41269841,76.34145831,0.381707292
Mashrafe Mortaza,4,37,25,3,12.3,148,0,0,17,0.493333333,68.51851852,68.51851852,71.44727841,0.357236392
SK Raina,2,36,32,2,18,112.5,0,0,22,0.5625,78.125,78.125,80.97460422,0.404873021
STR Binny,2,35,29,2,17.5,120.7,0,0,24,0.603448276,83.81226054,83.81226054,86.58270909,0.432913545
BB McCullum,1,35,15,1,35,233.3,0,0,35,2.333333333,324.0740741,0,2.770448549,0.013852243
DA Rankin,1,34,37,1,34,91.9,0,0,34,0.918918919,127.6276276,0,2.691292876,0.013456464
Irfan Ahmed,4,34,33,4,8.5,103,0,0,16,0.257575758,35.77441077,35.77441077,38.46570365,0.192328518
SM Sharif,2,34,24,2,17,141.7,0,0,26,0.708333333,98.37962963,98.37962963,101.0709225,0.505354613
J Charles,2,34,27,2,17,125.9,0,0,34,0.62962963,87.44855967,87.44855967,90.13985255,0.450699263
GD Elliott,3,33,30,3,11,110,0,0,20,0.366666667,50.92592593,50.92592593,53.53806313,0.267690316
Litton Das,2,32,33,2,16,97,0,0,22,0.484848485,67.34006734,67.34006734,69.87304887,0.349365244
Aaqib Sulehri,4,31,38,3,10.3,81.6,0,0,16,0.271929825,37.76803119,37.76803119,40.22185705,0.201109285
AJ Lalcheta,3,31,21,1,31,147.6,0,0,16,1.476190476,205.026455,0,2.453825858,0.012269129
Haris Sohail,1,30,24,1,-,125,0,0,30,1.25,173.6111111,0,2.374670185,0.011873351
C Carter,2,30,31,2,15,96.8,0,0,15,0.483870968,67.20430108,67.20430108,69.57897126,0.347894856
P Airee,4,30,23,4,7.5,130.4,0,0,18,0.326086957,45.28985507,45.28985507,47.66452526,0.238322626
Mahmudullah,2,30,24,1,30,125,0,0,22,1.25,173.6111111,0,2.374670185,0.011873351
CK Coventry,4,30,30,3,10,100,0,0,14,0.333333333,46.2962963,46.2962963,48.67096648,0.243354832
SP Khakurel,4,29,48,4,7.2,60.4,0,0,19,0.151041667,20.97800926,20.97800926,23.27352377,0.116367619
D Wiese,3,29,22,3,9.7,131.8,0,0,21,0.439393939,61.02693603,61.02693603,63.32245054,0.316612253
PS Airee,3,29,30,3,9.7,96.7,0,0,29,0.322222222,44.75308642,44.75308642,47.04860093,0.235243005
P Utseya,4,28,22,1,28,127.3,0,0,13,1.272727273,176.7676768,0,2.216358839,0.011081794
SW Poynter,4,28,26,4,7,107.7,0,0,11,0.269230769,37.39316239,37.39316239,39.60952123,0.198047606
Abdul Shakoor,3,28,34,2,14,82.4,0,0,20,0.411764706,57.18954248,57.18954248,59.40590132,0.297029507
TE Kane,2,28,20,1,28,140,0,0,26,1.4,194.4444444,0,2.216358839,0.011081794
JDS Neesham,1,28,19,1,28,147.4,0,0,28,1.473684211,204.6783626,0,2.216358839,0.011081794
JF Mooney,3,27,18,2,13.5,150,0,0,18,0.75,104.1666667,0,2.137203166,0.010686016
CD Wallace,1,26,18,1,-,144.4,0,0,26,1.444444444,200.617284,0,2.058047493,0.010290237
GH Dockrell,4,26,21,3,8.7,123.8,0,0,10,0.412698413,57.31922399,57.31922399,59.37727148,0.296886357
Amir Ali,3,26,24,2,13,108.3,0,0,13,0.541666667,75.23148148,75.23148148,77.28952897,0.386447645
BA Stokes,2,25,14,1,-,178.6,0,0,24,1.785714286,248.015873,0,1.978891821,0.009894459
B Bhandari,6,25,37,6,4.2,67.6,0,0,13,0.112612613,15.64064064,15.64064064,17.61953246,0.088097662
PM Seelaar,5,25,23,4,6.2,108.7,0,0,6,0.27173913,37.74154589,37.74154589,39.72043771,0.198602189
MS Dhoni,2,25,20,1,25,125,0,0,20,1.25,173.6111111,0,1.978891821,0.009894459
NL McCullum,4,24,26,2,12,92.3,0,0,18,0.461538462,64.1025641,64.1025641,66.00230025,0.330011501
MA Leask,4,24,24,4,6,100,0,0,13,0.25,34.72222222,34.72222222,36.62195837,0.183109792
Amjad Gul,1,24,21,1,24,114.3,0,0,24,1.142857143,158.7301587,0,1.899736148,0.009498681
AR Patel,3,24,30,2,12,80,0,0,13,0.4,55.55555556,55.55555556,57.4552917,0.287276459
MC Sorensen,1,23,12,1,-,191.7,0,0,23,1.916666667,266.2037037,0,1.820580475,0.009102902
Amjad Javed,2,23,22,2,11.5,104.5,0,0,14,0.522727273,72.6010101,72.6010101,74.42159058,0.372107953
KD Shah,4,23,32,3,7.7,71.9,0,0,12,0.239583333,33.27546296,33.27546296,35.09604344,0.175480217
Sarfraz Ahmed,3,23,19,2,11.5,121.1,0,0,19,0.605263158,84.06432749,84.06432749,85.88490796,0.42942454
SP Narine,1,23,15,1,23,153.3,0,0,23,1.533333333,212.962963,0,1.820580475,0.009102902
Waqas Barkat,3,22,22,2,11,100,0,0,10,0.5,69.44444444,69.44444444,71.18586925,0.355929346
Umair Ali,3,22,18,1,22,122.2,0,0,13,1.222222222,169.7530864,0,1.741424802,0.008707124
Rony Talukdar,1,21,22,1,21,95.5,0,0,21,0.954545455,132.5757576,0,1.662269129,0.008311346
Wahab Riaz,1,21,13,2,10.5,161.5,0,0,21,0.807692308,112.1794872,0,1.662269129,0.008311346
MP O'Dowd,2,20,18,2,10,111.1,0,0,17,0.555555556,77.16049383,77.16049383,78.74360728,0.393718036
Nasir Hossain,4,20,21,4,5,95.2,0,0,16,0.238095238,33.06878307,33.06878307,34.65189653,0.173259483
MK Pandey,2,19,22,2,9.5,86.4,0,0,19,0.431818182,59.97474747,59.97474747,61.47870526,0.307393526
B Regmi,7,19,42,5,3.8,45.2,0,0,11,0.09047619,12.56613757,12.56613757,14.07009535,0.070350477
SV Samson,1,19,24,1,19,79.2,0,0,19,0.791666667,109.9537037,0,1.503957784,0.007519789
AG Cremer,6,19,29,4,4.8,65.5,0,0,9,0.163793103,22.74904215,22.74904215,24.25299993,0.121265
JL Ontong,1,19,11,1,19,172.7,0,0,19,1.727272727,239.8989899,0,1.503957784,0.007519789
Waqas Khan,2,19,30,1,19,63.3,0,0,19,0.633333333,87.96296296,87.96296296,89.46692075,0.447334604
MD Dai,2,18,33,2,9,54.5,0,0,11,0.272727273,37.87878788,37.87878788,39.30358999,0.19651795
Nauman Anwar,1,18,10,1,18,180,0,0,18,1.8,250,0,1.424802111,0.007124011
JNT Vare,2,18,17,2,9,105.9,0,0,13,0.529411765,73.52941176,73.52941176,74.95421388,0.374771069
LRPL Taylor,1,17,13,1,17,130.8,0,0,17,1.307692308,181.6239316,0,1.345646438,0.006728232
Liton Das,1,17,11,1,17,154.5,0,0,17,1.545454545,214.6464646,0,1.345646438,0.006728232
RW Chakabva,3,17,31,3,5.7,54.8,0,0,13,0.182795699,25.38829152,25.38829152,26.73393796,0.13366969
Nadeem Ahmed,3,16,16,2,8,100,0,0,10,0.5,69.44444444,69.44444444,70.71093521,0.353554676
Amjad Ali,2,16,23,1,16,69.6,0,0,14,0.695652174,96.61835749,96.61835749,97.88484825,0.489424241
TWM Latham,2,15,18,2,7.5,83.3,0,0,12,0.416666667,57.87037037,57.87037037,59.05770546,0.295288527
KM Jadhav,2,14,13,2,7,107.7,0,0,9,0.538461538,74.78632479,74.78632479,75.89450421,0.379472521
S Dhawan,2,14,16,2,7,87.5,0,0,11,0.4375,60.76388889,60.76388889,61.87206831,0.309360342
T van der Gugten,2,14,9,1,14,155.6,0,0,12,1.555555556,216.0493827,0,1.10817942,0.005540897
DJ Willey,3,13,10,2,6.5,130,0,0,6,0.65,90.27777778,90.27777778,91.30680152,0.456534008
Bilawal Bhatti,1,13,5,1,-,260,0,0,13,2.6,361.1111111,0,1.029023747,0.005145119
AR Cusack,2,13,5,1,13,260,0,0,13,2.6,361.1111111,0,1.029023747,0.005145119
L Siaka,3,13,18,3,4.3,72.2,0,0,7,0.240740741,33.43621399,33.43621399,34.46523774,0.172326189
Mohammad Nadeem,2,13,11,1,13,118.2,0,0,7,1.181818182,164.1414141,0,1.029023747,0.005145119
MR Marsh,1,13,13,1,13,100,0,0,13,1,138.8888889,0,1.029023747,0.005145119
J Anderson,2,12,18,2,6,66.7,0,0,9,0.333333333,46.2962963,46.2962963,47.24616437,0.236230822
Mehran Khan,3,12,16,2,6,75,0,0,7,0.375,52.08333333,52.08333333,53.03320141,0.265166007
Arafat Sunny,3,12,14,1,12,85.7,0,0,6,0.857142857,119.047619,0,0.949868074,0.00474934
JH Davey,2,12,10,1,12,120,0,0,8,1.2,166.6666667,0,0.949868074,0.00474934
NJ O'Brien,2,12,18,2,6,66.7,0,0,9,0.333333333,46.2962963,46.2962963,47.24616437,0.236230822
AF Milne,2,11,9,1,-,122.2,0,0,10,1.222222222,169.7530864,0,0.870712401,0.004353562
Fayyaz Ahmed,1,11,12,1,11,91.7,0,0,11,0.916666667,127.3148148,0,0.870712401,0.004353562
AK Mandal,2,11,25,2,5.5,44,0,0,9,0.22,30.55555556,30.55555556,31.42626796,0.15713134
R Ashwin,1,11,15,1,11,73.3,0,0,11,0.733333333,101.8518519,0,0.870712401,0.004353562
KJ Abbott,2,11,10,1,11,110,0,0,9,1.1,152.7777778,0,0.870712401,0.004353562
MP Stoinis,1,10,8,1,-,125,0,0,10,1.25,173.6111111,0,0.791556728,0.003957784
AU Rashid,2,10,5,1,-,200,0,0,7,2,277.7777778,0,0.791556728,0.003957784
Imrul Kayes,1,10,10,1,10,100,0,0,10,1,138.8888889,0,0.791556728,0.003957784
VV Morea,1,9,12,1,9,75,0,0,9,0.75,104.1666667,0,0.712401055,0.003562005
TP Visee,2,9,14,2,4.5,64.3,0,0,5,0.321428571,44.64285714,44.64285714,45.3552582,0.226776291
B Kumar,2,9,8,2,4.5,112.5,0,0,9,0.5625,78.125,78.125,78.83740106,0.394187005
MJ Santner,1,9,13,1,9,69.2,0,0,9,0.692307692,96.15384615,96.15384615,96.86624721,0.484331236
B Fernando,1,8,12,1,-,66.7,0,0,8,0.666666667,92.59259259,92.59259259,93.22583798,0.46612919
Haseeb Amjad,3,8,11,1,8,72.7,0,0,5,0.727272727,101.010101,0,0.633245383,0.003166227
SP Gauchan,3,8,17,2,4,47.1,0,0,6,0.235294118,32.67973856,32.67973856,33.31298394,0.16656492
Harbhajan Singh,2,8,4,1,8,200,0,0,8,2,277.7777778,0,0.633245383,0.003166227
SR Watson,1,8,5,1,8,160,0,0,8,1.6,222.2222222,0,0.633245383,0.003166227
TS Chisoro,1,7,10,1,-,70,0,0,7,0.7,97.22222222,97.22222222,97.77631193,0.48888156
Mudassar Bukhari,4,7,10,3,2.3,70,0,0,4,0.233333333,32.40740741,32.40740741,32.96149712,0.164807486
DAJ Bracewell,1,7,2,1,-,350,0,0,7,3.5,486.1111111,0,0.55408971,0.002770449
MD Shanaka,1,7,4,1,7,175,0,0,7,1.75,243.0555556,0,0.55408971,0.002770449
JE Taylor,1,6,12,1,6,50,0,0,6,0.5,69.44444444,69.44444444,69.91937848,0.349596892
D Bishoo,1,6,5,1,-,120,0,0,6,1.2,166.6666667,0,0.474934037,0.00237467
CB Mpofu,1,6,3,1,-,200,0,0,6,2,277.7777778,0,0.474934037,0.00237467
Karan KC,4,5,16,2,2.5,31.2,0,0,2,0.15625,21.70138889,21.70138889,22.09716725,0.110485836
RJ Ranpura,1,5,8,1,-,62.5,0,0,5,0.625,86.80555556,86.80555556,87.20133392,0.43600667
K Rabada,1,5,6,1,-,83.3,0,0,5,0.833333333,115.7407407,0,0.395778364,0.001978892
T Panyangara,2,5,6,1,5,83.3,0,0,4,0.833333333,115.7407407,0,0.395778364,0.001978892
Mohammad Tauqir,2,4,6,1,4,66.7,0,0,4,0.666666667,92.59259259,92.59259259,92.90921528,0.464546076
WP Masakadza,1,4,1,1,-,400,0,0,4,4,555.5555556,0,0.316622691,0.001583113
A Karn,1,4,7,1,4,57.1,0,0,4,0.571428571,79.36507937,79.36507937,79.68170206,0.39840851
KMDN Kulasekara,1,4,6,1,4,66.7,0,0,4,0.666666667,92.59259259,92.59259259,92.90921528,0.464546076
DA Warner,1,4,6,1,4,66.7,0,0,4,0.666666667,92.59259259,92.59259259,92.90921528,0.464546076
AR Nurse,1,3,5,1,3,60,0,0,3,0.6,83.33333333,83.33333333,83.57080035,0.417854002
NLTC Perera,2,3,7,2,1.5,42.9,0,0,2,0.214285714,29.76190476,29.76190476,29.99937178,0.149996859
SMSM Senanayake,1,3,4,1,3,75,0,0,3,0.75,104.1666667,0,0.237467018,0.001187335
PVD Chameera,1,3,4,1,-,75,0,0,3,0.75,104.1666667,0,0.237467018,0.001187335
MM Sharma,2,3,6,1,-,50,0,0,3,0.5,69.44444444,69.44444444,69.68191146,0.348409557
Sohag Gazi,1,3,6,1,3,50,0,0,3,0.5,69.44444444,69.44444444,69.68191146,0.348409557
L Nou,1,2,3,1,-,66.7,0,0,2,0.666666667,92.59259259,92.59259259,92.75090394,0.46375452
MAA Jamil,1,2,4,1,-,50,0,0,2,0.5,69.44444444,69.44444444,69.60275579,0.348013779
Mustafizur Rahman,3,2,8,2,1,25,0,0,1,0.125,17.36111111,17.36111111,17.51942246,0.087597112
JB Reva,1,2,7,1,2,28.6,0,0,2,0.285714286,39.68253968,39.68253968,39.84085103,0.199204255
MS Wade,1,2,2,1,2,100,0,0,2,1,138.8888889,0,0.158311346,0.000791557
JO Holder,1,2,4,1,2,50,0,0,2,0.5,69.44444444,69.44444444,69.60275579,0.348013779
SL Malinga,1,2,4,1,2,50,0,0,2,0.5,69.44444444,69.44444444,69.60275579,0.348013779
AM Phangiso,1,2,5,1,2,40,0,0,2,0.4,55.55555556,55.55555556,55.7138669,0.278569335
LE Plunkett,1,1,2,1,1,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
M Nasim Baras,1,1,2,1,-,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
AM Guruge,1,1,6,1,1,16.7,0,0,1,0.166666667,23.14814815,23.14814815,23.22730382,0.116136519
Yamin Ahmadzai,1,1,1,1,-,100,0,0,1,1,138.8888889,0,0.079155673,0.000395778
Sandeep Sharma,1,1,1,1,-,100,0,0,1,1,138.8888889,0,0.079155673,0.000395778
MRJ Watt,2,1,3,1,1,33.3,0,0,1,0.333333333,46.2962963,46.2962963,46.37545197,0.23187726
Mohammad Irfan,1,1,1,1,-,100,0,0,1,1,138.8888889,0,0.079155673,0.000395778
Al-Amin Hossain,1,1,2,1,-,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
CD de Lange,1,1,2,1,1,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
CR Brathwaite,1,1,2,1,1,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
KDK Vithanage,1,1,4,1,1,25,0,0,1,0.25,34.72222222,34.72222222,34.8013779,0.174006889
JM Bairstow,1,1,2,1,1,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
Sayed Shirzad,1,1,2,1,-,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
Mirwais Ashraf,2,1,2,1,1,50,0,0,1,0.5,69.44444444,69.44444444,69.52360012,0.347618001
Imran Khan (1),1,0,1,1,0,0,0,0,0,0,0,0,0,0
AC Evans,2,0,4,2,0,0,0,0,0,0,0,0,0,0
MJ McClenaghan,1,0,1,1,0,0,0,0,0,0,0,0,0,0
TG Southee,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Bilal Khan,1,0,2,1,0,0,0,0,0,0,0,0,0,0
M Ansari,1,0,1,1,-,0,0,0,0,0,0,0,0,0
SS Cottrell,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NM Coulter-Nile,1,0,1,1,0,0,0,0,0,0,0,0,0,0
AT Rayudu,2,0,3,2,0,0,0,0,0,0,0,0,0,0
CA Young,1,0,1,1,-,0,0,0,0,0,0,0,0,0
